Family & Model,Logical Width,Logical Height,Physical Width,Physical Height,PPI,Retina Factor,Release
iPhone 12,390,844,1170,2532,460,3,10/13/2020
iPhone 12 mini,360,780,1080,2340,476,3,10/13/2020
iPhone 12 Pro Max,428,926,1284,2778,458,3,10/13/2020
iPhone 12 Pro,390,844,1170,2532,460,3,10/13/2020
iPhone SE 2nd gen,375,667,750,1334,326,2,4/24/2020
iPhone 11 Pro Max,414,896,1242,2688,458,3,9/20/2019
iPhone 11 Pro,375,812,1125,2436,458,3,9/20/2019
iPhone 11,414,896,828,1792,326,2,9/20/2019
iPhone XR,414,896,828,1792,326,2,10/26/2018
iPhone XS Max,414,896,1242,2688,458,3,9/21/2018
iPhone XS,375,812,1125,2436,458,3,9/21/2018
iPhone X,375,812,1125,2436,458,3,11/3/2017
iPhone 8 Plus,414,736,1242,2208,401,3,9/22/2017
iPhone 8,375,667,750,1334,326,2,9/22/2017
iPhone 7 Plus,414,736,1242,2208,401,3,9/16/2016
iPhone 7,375,667,750,1334,326,2,9/16/2016
iPhone SE 1st gen,320,568,640,1136,326,2,3/31/2016
iPhone 6s Plus,414,736,1242,2208,401,3,9/25/2015
iPhone 6s,375,667,750,1334,326,2,9/25/2015
iPhone 6 Plus,414,736,1242,2208,401,3,9/19/2014
iPhone 6,375,667,750,1334,326,2,9/19/2014
iPhone 5c,320,568,640,1136,326,2,9/20/2013
iPhone 5s,320,568,640,1136,326,2,9/20/2013
iPhone 5,320,568,640,1136,326,2,9/21/2012
iPhone 4S,320,480,640,960,326,2,10/14/2011
iPhone 4,320,480,640,960,326,2,6/21/2010
iPhone 3GS,320,480,320,480,163,1,6/19/2009
iPhone 3G,320,480,320,480,163,1,7/11/2008
iPhone 1st gen,320,480,320,480,163,1,6/29/2007
"iPad Pro (4th gen 12.9"")",1024,1366,2048,2732,264,2,3/25/2020
"iPad Pro (4th gen 11"")",834,1194,1668,2388,264,2,3/25/2020
iPad 7th gen,810,1080,1620,2160,264,2,9/25/2019
iPad Mini (5th gen),768,1024,1536,2048,326,2,3/18/2019
iPad Air (3rd gen),834,1112,1668,2224,264,2,3/18/2019
"iPad Pro (3rd gen 12.9"")",1024,1366,2048,2732,264,2,11/7/2018
"iPad Pro (3rd gen 11"")",834,1194,1668,2388,264,2,11/7/2018
iPad 6th gen,768,1024,1536,2048,264,2,3/27/2018
"iPad Pro (2nd gen 12.9"")",1024,1366,2048,2732,264,2,6/13/2017
"iPad Pro (2nd gen 10.5"")",834,1112,1668,2224,264,2,6/13/2017
iPad 5th gen,768,1024,1536,2048,264,2,3/24/2017
iPad Pro (1st gen 9.7”),768,1024,1536,2048,264,2,3/31/2016
"iPad Pro (1st gen 12.9"")",1024,1366,2048,2732,264,2,11/11/2015
iPad mini 4,768,1024,1536,2048,326,2,9/9/2015
iPad Air 2,768,1024,1536,2048,326,2,10/22/2014
iPad mini 3,768,1024,1536,2048,264,2,10/22/2014
iPad mini 2,768,1024,1536,2048,326,2,11/12/2013
iPad Air,768,1024,1536,2048,264,2,11/1/2013
iPad 4th gen,768,1024,1536,2048,264,2,11/12/2012
iPad mini,768,1024,768,1024,163,1,11/2/2012
iPad 3rd gen,768,1024,1536,2048,264,2,3/16/2012
iPad 2,768,1024,768,1024,132,1,3/11/2011
iPad 1st gen,768,1024,768,1024,132,1,4/3/2010
iPod touch 6th gen,320,568,640,1136,326,2,7/15/2015
iPod touch 5th gen,320,568,640,1136,326,2,10/11/2012
iPod touch 4th gen,320,480,640,960,326,2,9/1/2010
iPod touch 3rd gen,320,480,320,480,163,1,9/9/2009
iPod touch 2nd gen,320,480,320,480,163,1,9/9/2008
iPod touch 1st gen,320,480,320,480,163,1,9/5/2007
